fun_name,ea,size,has_input_masks,tri_slot_hits,polarity_pair,large_effects_call,score,candidate_type,source_file
FUN_00018e44,101956,84,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018e44,101956,84,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018e98,102040,348,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018e98,102040,348,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_00018e98,102040,348,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018e98,102040,348,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018f40,102208,72,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018f40,102208,72,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018f40,102208,72,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018f40,102208,72,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00018f7c,102268,16,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018f7c,102268,16,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018f7c,102268,16,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018f7c,102268,16,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00018fbc,102332,132,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018fbc,102332,132,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018ff4,102388,728,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018ff4,102388,728,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_00018ff4,102388,728,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018ff4,102388,728,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019108,102664,32,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00019108,102664,32,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019108,102664,32,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019108,102664,32,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_0001912c,102700,8,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_0001912c,102700,8,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_0001912c,102700,8,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_0001912c,102700,8,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00019134,102708,132,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00019134,102708,132,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019134,102708,132,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019134,102708,132,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_000191b8,102840,96,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000191b8,102840,96,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000191b8,102840,96,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000191b8,102840,96,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00019218,102936,128,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00019218,102936,128,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019218,102936,128,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019218,102936,128,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_000192cc,103116,124,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000192cc,103116,124,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_000192cc,103116,124,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000192cc,103116,124,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019324,103204,88,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00019324,103204,88,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019324,103204,88,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019324,103204,88,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00019348,103240,88,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00019348,103240,88,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_00019348,103240,88,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019348,103240,88,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019388,103304,132,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
