fun_name,ea,size,shift_sites,unknown_pos_store_hits,small_neg_hits,velocity_adj_hits,heuristic_score,source_file,offsets_context_sample
FUN_00023210,143888,216,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x182;0x184;0x34;0x38;0x78;0xc;0xec
FUN_000316c8,202440,220,2,2,0,0,4,exports\bundle_all_plus_demo.jsonl,0x16c;0x178;0x18e
FUN_000316c8,202440,220,2,2,0,0,4,exports\bundle_GAME.BIN.jsonl,0x16c;0x178;0x18e
FUN_000316c8,202440,220,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x16c;0x178;0x18e
FUN_000316c8,202440,220,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x16c;0x178;0x18e
FUN_00038370,230256,316,2,2,0,0,4,exports\bundle_all_plus_demo.jsonl,0x178
FUN_00038370,230256,316,2,2,0,0,4,exports\bundle_GAME.BIN.jsonl,0x178
FUN_00038370,230256,316,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x178
FUN_00038370,230256,316,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x178
FUN_000438fc,276732,2468,2,2,0,0,4,exports\bundle_all_plus_demo.jsonl,0x18;0x34;0x38;0x50;0xb8
FUN_000438fc,276732,2468,2,2,0,0,4,exports\bundle_GAME.BIN.jsonl,0x18;0x34;0x38;0x50;0xb8
FUN_000438fc,276732,2468,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x18;0x34;0x38;0x50;0xb8
FUN_000438fc,276732,2468,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x18;0x34;0x38;0x50;0xb8
FUN_00045a80,285312,440,2,2,0,0,4,exports\bundle_all_plus_demo.jsonl,0x34;0x36;0x38;0x3c;0x3e;0x40;0x50;0xb8;0xbc;0xc4;0xcc;0xd0
FUN_00045a80,285312,440,2,2,0,0,4,exports\bundle_GAME.BIN.jsonl,0x34;0x36;0x38;0x3c;0x3e;0x40;0x50;0xb8;0xbc;0xc4;0xcc;0xd0
FUN_00045a80,285312,440,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x34;0x36;0x38;0x3c;0x3e;0x40;0x50;0xb8;0xbc;0xc4;0xcc;0xd0
FUN_00045a80,285312,440,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x34;0x36;0x38;0x3c;0x3e;0x40;0x50;0xb8;0xbc;0xc4;0xcc;0xd0
FUN_00001c84,7300,6844,1,1,1,0,4,exports\bundle_all_plus_demo.jsonl,0xc
FUN_00001c84,7300,6844,1,1,1,0,4,exports\bundle_ghidra.jsonl,0xc
FUN_00001c84,7300,6844,1,1,1,0,4,exports\bundle_ghidra.jsonl,0xc
FUN_00001c84,7300,6844,1,1,1,0,4,exports\bundle_TUTO.BIN.jsonl,0xc
FUN_00006f74,28532,760,1,1,1,0,4,exports\bundle_all_plus_demo.jsonl,0x318;0x34
FUN_00006f74,28532,760,1,1,1,0,4,exports\bundle_ghidra.jsonl,0x318;0x34
FUN_00006f74,28532,760,1,1,1,0,4,exports\bundle_ghidra.jsonl,0x318;0x34
FUN_00006f74,28532,760,1,1,1,0,4,exports\bundle_SYS.BIN.jsonl,0x318;0x34
FUN_00022a74,141940,556,1,1,1,0,4,exports\bundle_all_plus_demo.jsonl,0xb8
FUN_00022a74,141940,556,1,1,1,0,4,exports\bundle_GAME.BIN.jsonl,0xb8
FUN_00022a74,141940,556,1,1,1,0,4,exports\bundle_ghidra.jsonl,0xb8
FUN_00022a74,141940,556,1,1,1,0,4,exports\bundle_ghidra.jsonl,0xb8
FUN_00044754,280404,284,1,1,1,0,4,exports\bundle_all_plus_demo.jsonl,0x26;0x3c;0x3e;0x40;0x70;0xb8;0xc
FUN_00044754,280404,284,1,1,1,0,4,exports\bundle_GAME.BIN.jsonl,0x26;0x3c;0x3e;0x40;0x70;0xb8;0xc
FUN_00044754,280404,284,1,1,1,0,4,exports\bundle_ghidra.jsonl,0x26;0x3c;0x3e;0x40;0x70;0xb8;0xc
FUN_00044754,280404,284,1,1,1,0,4,exports\bundle_ghidra.jsonl,0x26;0x3c;0x3e;0x40;0x70;0xb8;0xc
FUN_000456f8,284408,776,2,0,1,0,2,exports\bundle_all_plus_demo.jsonl,
FUN_000456f8,284408,776,2,0,1,0,2,exports\bundle_GAME.BIN.jsonl,
FUN_000456f8,284408,776,2,0,1,0,2,exports\bundle_ghidra.jsonl,
FUN_000456f8,284408,776,2,0,1,0,2,exports\bundle_ghidra.jsonl,
