# idx,cos,sin,hexPair  meanR=4095.99 varR=0.08 minR=4095.38 maxR=4096.59
511,-1802,3678,0x0e5ef8f6
512,3675,1808,0x07100e5b
513,-1808,3675,0x0e5bf8f0
514,3673,1813,0x07150e59
515,-1813,3673,0x0e59f8eb
516,3670,1819,0x071b0e56
517,-1819,3670,0x0e56f8e5
518,3667,1825,0x07210e53
519,-1825,3667,0x0e53f8df
520,3664,1830,0x07260e50
521,-1830,3664,0x0e50f8da
522,3661,1836,0x072c0e4d
523,-1836,3661,0x0e4df8d4
524,3659,1842,0x07320e4b
525,-1842,3659,0x0e4bf8ce
526,3656,1847,0x07370e48
527,-1847,3656,0x0e48f8c9
528,3653,1853,0x073d0e45
529,-1853,3653,0x0e45f8c3
530,3650,1858,0x07420e42
531,-1858,3650,0x0e42f8be
532,3647,1864,0x07480e3f
533,-1864,3647,0x0e3ff8b8
534,3644,1870,0x074e0e3c
535,-1870,3644,0x0e3cf8b2
536,3642,1875,0x07530e3a
537,-1875,3642,0x0e3af8ad
538,3639,1881,0x07590e37
539,-1881,3639,0x0e37f8a7
540,3636,1886,0x075e0e34
541,-1886,3636,0x0e34f8a2
542,3633,1892,0x07640e31
543,-1892,3633,0x0e31f89c
544,3630,1898,0x076a0e2e
545,-1898,3630,0x0e2ef896
546,3627,1903,0x076f0e2b
547,-1903,3627,0x0e2bf891
548,3624,1909,0x07750e28
549,-1909,3624,0x0e28f88b
550,3621,1914,0x077a0e25
551,-1914,3621,0x0e25f886
552,3618,1920,0x07800e22
553,-1920,3618,0x0e22f880
554,3615,1925,0x07850e1f
555,-1925,3615,0x0e1ff87b
556,3612,1931,0x078b0e1c
557,-1931,3612,0x0e1cf875
558,3609,1936,0x07900e19
559,-1936,3609,0x0e19f870
560,3606,1942,0x07960e16
561,-1942,3606,0x0e16f86a
562,3603,1947,0x079b0e13
563,-1947,3603,0x0e13f865
564,3600,1953,0x07a10e10
565,-1953,3600,0x0e10f85f
566,3597,1958,0x07a60e0d
567,-1958,3597,0x0e0df85a
568,3594,1964,0x07ac0e0a
569,-1964,3594,0x0e0af854
570,3591,1970,0x07b20e07
571,-1970,3591,0x0e07f84e
572,3588,1975,0x07b70e04
573,-1975,3588,0x0e04f849
574,3585,1981,0x07bd0e01
575,-1981,3585,0x0e01f843
576,3582,1986,0x07c20dfe
577,-1986,3582,0x0dfef83e
578,3579,1992,0x07c80dfb
579,-1992,3579,0x0dfbf838
580,3576,1997,0x07cd0df8
581,-1997,3576,0x0df8f833
582,3573,2002,0x07d20df5
583,-2002,3573,0x0df5f82e
584,3570,2008,0x07d80df2
585,-2008,3570,0x0df2f828
586,3567,2013,0x07dd0def
587,-2013,3567,0x0deff823
588,3564,2019,0x07e30dec
589,-2019,3564,0x0decf81d
590,3561,2024,0x07e80de9
591,-2024,3561,0x0de9f818
592,3558,2030,0x07ee0de6
593,-2030,3558,0x0de6f812
594,3555,2035,0x07f30de3
595,-2035,3555,0x0de3f80d
596,3551,2041,0x07f90ddf
597,-2041,3551,0x0ddff807
598,3548,2046,0x07fe0ddc
599,-2046,3548,0x0ddcf802
600,3545,2052,0x08040dd9
601,-2052,3545,0x0dd9f7fc
602,3542,2057,0x08090dd6
603,-2057,3542,0x0dd6f7f7
604,3539,2062,0x080e0dd3
605,-2062,3539,0x0dd3f7f2
606,3536,2068,0x08140dd0
607,-2068,3536,0x0dd0f7ec
608,3532,2073,0x08190dcc
609,-2073,3532,0x0dccf7e7
610,3529,2079,0x081f0dc9
611,-2079,3529,0x0dc9f7e1
612,3526,2084,0x08240dc6
613,-2084,3526,0x0dc6f7dc
614,3523,2090,0x082a0dc3
615,-2090,3523,0x0dc3f7d6
616,3520,2095,0x082f0dc0
617,-2095,3520,0x0dc0f7d1
618,3516,2100,0x08340dbc
619,-2100,3516,0x0dbcf7cc
620,3513,2106,0x083a0db9
621,-2106,3513,0x0db9f7c6
622,3510,2111,0x083f0db6
623,-2111,3510,0x0db6f7c1
624,3507,2117,0x08450db3
625,-2117,3507,0x0db3f7bb
626,3504,2122,0x084a0db0
627,-2122,3504,0x0db0f7b6
628,3500,2127,0x084f0dac
629,-2127,3500,0x0dacf7b1
