score,name,disp,ea,size,lvl,masks,edges,kws,outdeg,indeg
1,FUN_0000aa7c,FUN_0000aa7c,0x0000aa7c,120,-1,0,0,0,0,0
1,FUN_0000aaf4,FUN_0000aaf4,0x0000aaf4,72,-1,0,0,0,0,0
1,FUN_0000ab3c,FUN_0000ab3c,0x0000ab3c,68,-1,0,0,0,0,0
1,FUN_0000ab80,FUN_0000ab80,0x0000ab80,36,-1,0,0,0,0,0
1,FUN_0000aba4,FUN_0000aba4,0x0000aba4,36,-1,0,0,0,0,0
1,FUN_0000ac34,FUN_0000ac34,0x0000ac34,64,-1,0,0,0,0,0
1,FUN_0000ac74,FUN_0000ac74,0x0000ac74,104,-1,0,0,0,0,0
1,FUN_0000acdc,FUN_0000acdc,0x0000acdc,92,-1,0,0,0,0,0
1,FUN_0000ad70,FUN_0000ad70,0x0000ad70,228,-1,0,0,0,0,0
1,FUN_0000b09c,phys_FUN_0000b09c,0x0000b09c,224,-1,0,0,0,0,0
1,FUN_0000c020,FUN_0000c020,0x0000c020,236,-1,0,0,0,0,0
1,FUN_0000c26c,FUN_0000c26c,0x0000c26c,124,-1,0,0,0,0,0
1,FUN_0000c4ac,FUN_0000c4ac,0x0000c4ac,136,-1,0,0,0,0,0
1,FUN_0000c534,FUN_0000c534,0x0000c534,164,-1,0,0,0,0,0
1,FUN_0000c5d8,FUN_0000c5d8,0x0000c5d8,96,-1,0,0,0,0,0
1,FUN_0000c638,FUN_0000c638,0x0000c638,96,-1,0,0,0,0,0
1,FUN_0000c698,FUN_0000c698,0x0000c698,112,-1,0,0,0,0,0
1,FUN_0000c710,FUN_0000c710,0x0000c710,156,-1,0,0,0,0,0
1,FUN_0000c8bc,FUN_0000c8bc,0x0000c8bc,84,-1,0,0,0,0,0
1,FUN_0000c910,FUN_0000c910,0x0000c910,236,-1,0,0,0,0,0
1,FUN_0000c9fc,FUN_0000c9fc,0x0000c9fc,204,-1,0,0,0,0,0
1,FUN_0000cac8,FUN_0000cac8,0x0000cac8,128,-1,0,0,0,0,0
1,FUN_0000cb48,FUN_0000cb48,0x0000cb48,228,-1,0,0,0,0,0
1,FUN_0000cc9c,FUN_0000cc9c,0x0000cc9c,68,-1,0,0,0,0,0
1,FUN_0000d1f4,phys_FUN_0000d1f4,0x0000d1f4,216,-1,0,0,0,0,0
1,FUN_0000d318,FUN_0000d318,0x0000d318,128,-1,0,0,0,0,0
1,FUN_0000d518,FUN_0000d518,0x0000d518,44,-1,0,0,0,0,0
1,FUN_0000d5a0,FUN_0000d5a0,0x0000d5a0,44,-1,0,0,0,0,0
1,FUN_0000d5cc,FUN_0000d5cc,0x0000d5cc,128,-1,0,0,0,0,0
1,FUN_0000d6f8,FUN_0000d6f8,0x0000d6f8,124,-1,0,0,0,0,0
1,FUN_0000d774,FUN_0000d774,0x0000d774,44,-1,0,0,0,0,0
1,FUN_0000d7a0,FUN_0000d7a0,0x0000d7a0,76,-1,0,0,0,0,0
1,FUN_0000d9a0,phys_FUN_0000d9a0,0x0000d9a0,156,-1,0,0,0,0,0
1,FUN_0000db64,FUN_0000db64,0x0000db64,80,-1,0,0,0,0,0
1,FUN_0000dbb4,FUN_0000dbb4,0x0000dbb4,176,-1,0,0,0,0,0
1,FUN_0000dc64,FUN_0000dc64,0x0000dc64,80,-1,0,0,0,0,0
1,FUN_0000dcd4,FUN_0000dcd4,0x0000dcd4,256,-1,0,0,0,0,0
1,FUN_0000dee4,FUN_0000dee4,0x0000dee4,76,-1,0,0,0,0,0
1,FUN_0000e9cc,phys_FUN_0000e9cc,0x0000e9cc,124,-1,0,0,0,0,0
1,FUN_0000f3e4,FUN_0000f3e4,0x0000f3e4,128,-1,0,0,0,0,0
1,FUN_00010684,FUN_00010684,0x00010684,72,-1,0,0,0,0,0
1,FUN_000107d8,FUN_000107d8,0x000107d8,80,-1,0,0,0,0,0
1,FUN_00010828,FUN_00010828,0x00010828,148,-1,0,0,0,0,0
1,FUN_000111c8,phys_FUN_000111c8,0x000111c8,92,-1,0,0,0,0,0
1,FUN_0001132c,FUN_0001132c,0x0001132c,244,-1,0,0,0,0,0
1,FUN_00011420,FUN_00011420,0x00011420,156,-1,0,0,0,0,0
1,FUN_000114bc,FUN_000114bc,0x000114bc,80,-1,0,0,0,0,0
1,FUN_000116a4,FUN_000116a4,0x000116a4,80,-1,0,0,0,0,0
1,FUN_00012024,FUN_00012024,0x00012024,112,-1,0,0,0,0,0
1,FUN_00012130,FUN_00012130,0x00012130,104,-1,0,0,0,0,0
1,FUN_00012198,FUN_00012198,0x00012198,140,-1,0,0,0,0,0
1,FUN_00012224,FUN_00012224,0x00012224,104,-1,0,0,0,0,0
1,FUN_0001228c,FUN_0001228c,0x0001228c,96,-1,0,0,0,0,0
1,FUN_00012f28,FUN_00012f28,0x00012f28,104,-1,0,0,0,0,0
1,FUN_00012f90,FUN_00012f90,0x00012f90,140,-1,0,0,0,0,0
1,FUN_000136e0,FUN_000136e0,0x000136e0,72,-1,0,0,0,0,0
1,FUN_00013834,FUN_00013834,0x00013834,80,-1,0,0,0,0,0
1,FUN_00013884,FUN_00013884,0x00013884,64,-1,0,0,0,0,0
1,FUN_00013c80,FUN_00013c80,0x00013c80,96,-1,0,0,0,0,0
1,FUN_00013d4c,FUN_00013d4c,0x00013d4c,80,-1,0,0,0,0,0
1,FUN_00013d9c,FUN_00013d9c,0x00013d9c,60,-1,0,0,0,0,0
1,FUN_00013f08,FUN_00013f08,0x00013f08,80,-1,0,0,0,0,0
1,FUN_00013f58,FUN_00013f58,0x00013f58,136,-1,0,0,0,0,0
1,FUN_00013fe0,FUN_00013fe0,0x00013fe0,244,-1,0,0,0,0,0
1,FUN_000145a4,FUN_000145a4,0x000145a4,80,-1,0,0,0,0,0
1,FUN_000145f4,FUN_000145f4,0x000145f4,204,-1,0,0,0,0,0
1,FUN_00014f08,FUN_00014f08,0x00014f08,156,-1,0,0,0,0,0
1,FUN_00014fa4,FUN_00014fa4,0x00014fa4,192,-1,0,0,0,0,0
1,FUN_0001523c,FUN_0001523c,0x0001523c,80,-1,0,0,0,0,0
1,FUN_000153ec,FUN_000153ec,0x000153ec,80,-1,0,0,0,0,0
1,FUN_0001543c,FUN_0001543c,0x0001543c,124,-1,0,0,0,0,0
1,FUN_000154b8,FUN_000154b8,0x000154b8,80,-1,0,0,0,0,0
1,FUN_00015508,FUN_00015508,0x00015508,60,-1,0,0,0,0,0
1,FUN_00015544,FUN_00015544,0x00015544,80,-1,0,0,0,0,0
1,FUN_00015618,FUN_00015618,0x00015618,80,-1,0,0,0,0,0
1,FUN_00015668,FUN_00015668,0x00015668,132,-1,0,0,0,0,0
1,FUN_000156ec,FUN_000156ec,0x000156ec,80,-1,0,0,0,0,0
1,FUN_000158f0,FUN_000158f0,0x000158f0,80,-1,0,0,0,0,0
1,FUN_00015940,FUN_00015940,0x00015940,80,-1,0,0,0,0,0
1,FUN_00015990,FUN_00015990,0x00015990,80,-1,0,0,0,0,0
1,FUN_00015b54,FUN_00015b54,0x00015b54,80,-1,0,0,0,0,0
1,FUN_00015ba4,FUN_00015ba4,0x00015ba4,88,-1,0,0,0,0,0
1,FUN_00015bfc,FUN_00015bfc,0x00015bfc,80,-1,0,0,0,0,0
1,FUN_00015c4c,FUN_00015c4c,0x00015c4c,72,-1,0,0,0,0,0
1,FUN_00017340,FUN_00017340,0x00017340,56,-1,0,0,0,0,0
1,FUN_00017c08,FUN_00017c08,0x00017c08,168,-1,0,0,0,0,0
1,FUN_00017cb0,FUN_00017cb0,0x00017cb0,192,-1,0,0,0,0,0
1,FUN_00017fa4,FUN_00017fa4,0x00017fa4,112,-1,0,0,0,0,0
1,FUN_00018014,FUN_00018014,0x00018014,156,-1,0,0,0,0,0
1,FUN_00018648,FUN_00018648,0x00018648,52,-1,0,0,0,0,0
1,FUN_00018d1c,FUN_00018d1c,0x00018d1c,88,-1,0,0,0,0,0
1,FUN_00018d74,FUN_00018d74,0x00018d74,208,-1,0,0,0,0,0
1,FUN_00018e44,FUN_00018e44,0x00018e44,84,-1,0,0,0,0,0
1,FUN_000192cc,FUN_000192cc,0x000192cc,124,-1,0,0,0,0,0
1,FUN_00019348,FUN_00019348,0x00019348,88,-1,0,0,0,0,0
1,FUN_000196d0,FUN_000196d0,0x000196d0,208,-1,0,0,0,0,0
1,FUN_000197a0,FUN_000197a0,0x000197a0,212,-1,0,0,0,0,0
1,FUN_0001987c,FUN_0001987c,0x0001987c,252,-1,0,0,0,0,0
1,FUN_00019978,FUN_00019978,0x00019978,112,-1,0,0,0,0,0
1,FUN_000199e8,FUN_000199e8,0x000199e8,160,-1,0,0,0,0,0
1,FUN_00019eac,FUN_00019eac,0x00019eac,224,-1,0,0,0,0,0
1,FUN_0001a568,FUN_0001a568,0x0001a568,88,-1,0,0,0,0,0
1,FUN_0001a5c0,FUN_0001a5c0,0x0001a5c0,32,-1,0,0,0,0,0
1,FUN_0001a5e0,FUN_0001a5e0,0x0001a5e0,88,-1,0,0,0,0,0
1,FUN_0001a638,FUN_0001a638,0x0001a638,80,-1,0,0,0,0,0
1,FUN_0001a688,FUN_0001a688,0x0001a688,124,-1,0,0,0,0,0
1,FUN_0001a704,FUN_0001a704,0x0001a704,80,-1,0,0,0,0,0
1,FUN_0001a754,FUN_0001a754,0x0001a754,124,-1,0,0,0,0,0
1,FUN_0001a7d0,FUN_0001a7d0,0x0001a7d0,80,-1,0,0,0,0,0
1,FUN_0001a958,FUN_0001a958,0x0001a958,208,-1,0,0,0,0,0
1,FUN_0001aa28,FUN_0001aa28,0x0001aa28,80,-1,0,0,0,0,0
1,FUN_0001aa78,FUN_0001aa78,0x0001aa78,72,-1,0,0,0,0,0
1,FUN_0001aac0,FUN_0001aac0,0x0001aac0,80,-1,0,0,0,0,0
1,FUN_0001ab10,FUN_0001ab10,0x0001ab10,72,-1,0,0,0,0,0
1,FUN_0001ab58,FUN_0001ab58,0x0001ab58,80,-1,0,0,0,0,0
1,FUN_0001aba8,FUN_0001aba8,0x0001aba8,72,-1,0,0,0,0,0
1,FUN_0001abf0,FUN_0001abf0,0x0001abf0,80,-1,0,0,0,0,0
1,FUN_0001ac40,FUN_0001ac40,0x0001ac40,72,-1,0,0,0,0,0
1,FUN_0001ac88,FUN_0001ac88,0x0001ac88,80,-1,0,0,0,0,0
1,FUN_0001acd8,FUN_0001acd8,0x0001acd8,72,-1,0,0,0,0,0
1,FUN_0001ad20,FUN_0001ad20,0x0001ad20,80,-1,0,0,0,0,0
1,FUN_0001ad70,FUN_0001ad70,0x0001ad70,72,-1,0,0,0,0,0
1,FUN_0001adb8,FUN_0001adb8,0x0001adb8,236,-1,0,0,0,0,0
1,FUN_0001aea4,FUN_0001aea4,0x0001aea4,224,-1,0,0,0,0,0
1,FUN_0001b148,FUN_0001b148,0x0001b148,80,-1,0,0,0,0,0
1,FUN_0001b454,FUN_0001b454,0x0001b454,160,-1,0,0,0,0,0
1,FUN_0001b4f4,FUN_0001b4f4,0x0001b4f4,80,-1,0,0,0,0,0
1,FUN_0001b934,FUN_0001b934,0x0001b934,176,-1,0,0,0,0,0
1,FUN_0001b9e4,FUN_0001b9e4,0x0001b9e4,80,-1,0,0,0,0,0
