symbol,canonical_address_hex,observations,distinct_addresses,map_files,address_histogram
DrawOTagEnv,0x80014978,4,15,17,0x80014978(4);0x80104E94(4);0x80013228(2);0x80013D90(2);0x8001404C(2);0x80014C48(2);0x80014DF8(2);0x80014ECC(2);0x80014F48(2);0x800150D8(2);0x8001C65C(2);0x800333B0(2);0x800347E4(2);0x80104D90(2);0x801054EC(2)
DrawPrim,0x800147E0,4,16,18,0x800147E0(4);0x80104D08(4);0x80011FA8(2);0x8001309C(2);0x80013BF8(2);0x80013E74(2);0x80014ABC(2);0x80014C60(2);0x80014CF4(2);0x80014DBC(2);0x80014F40(2);0x8001C4C4(2);0x80033218(2);0x8003460C(2);0x80104C04(2);0x80105360(2)
DrawSync,0x800142DC,4,16,18,0x800142DC(4);0x80104770(4);0x80011DF4(2);0x80012B04(2);0x80013658(2);0x800138D4(2);0x80014524(2);0x800146C0(2);0x80014754(2);0x80014824(2);0x800149A0(2);0x8001BF24(2);0x80032C78(2);0x8003406C(2);0x8010466C(2);0x80104DC8(2)
DrawSyncCallback,0x800141E4,4,15,17,0x800141E4(4);0x80104678(4);0x80012A0C(2);0x80013560(2);0x800137DC(2);0x8001442C(2);0x800145C8(2);0x8001465C(2);0x8001472C(2);0x800148A8(2);0x8001BE2C(2);0x80032B80(2);0x80033F74(2);0x80104574(2);0x80104CD0(2)
DsDataCallback,0x800204F4,2,2,2,0x800204F4(2);0x80038000(2)
DsReadyCallback,0x800204CC,2,2,2,0x800204CC(2);0x80037FEC(2)
DsStartCallback,0x800204E0,2,1,1,0x800204E0(2)
DsSyncCallback,0x800204B8,2,2,2,0x800204B8(2);0x80037FD8(2)
DumpClut,0x80013744,4,14,16,0x80013744(4);0x80103DC8(4);0x80012A70(2);0x80012DD4(2);0x80013AD8(2);0x80013B7C(2);0x80013C54(2);0x80013DB8(2);0x80013E7C(2);0x8001B33C(2);0x80032090(2);0x8003356C(2);0x80103CC4(2);0x80104420(2)
DumpDispEnv,0x80013D94,4,14,16,0x80013D94(4);0x8010434C(4);0x8001310C(2);0x80013368(2);0x80014100(2);0x80014174(2);0x800141E8(2);0x80014400(2);0x80014454(2);0x8001B9D8(2);0x8003272C(2);0x80033B00(2);0x80104248(2);0x801049A4(2)
DumpDrawEnv,0x80013C14,4,14,16,0x80013C14(4);0x80104248(4);0x80012F8C(2);0x80013254(2);0x80013FF4(2);0x80013FFC(2);0x800140D4(2);0x800142D4(2);0x800142FC(2);0x8001B858(2);0x800325AC(2);0x800339EC(2);0x80104144(2);0x801048A0(2)
DumpTPage,0x80013674,4,14,16,0x80013674(4);0x80103D68(4);0x800129A0(2);0x80012D74(2);0x80013A08(2);0x80013B1C(2);0x80013BF4(2);0x80013CE8(2);0x80013E1C(2);0x8001B26C(2);0x80031FC0(2);0x8003350C(2);0x80103C64(2);0x801043C0(2)
EGGY,0x8001412C,2,1,1,0x8001412C(2)
ELAPSED_TIME,0x800A21FC,2,1,1,0x800A21FC(2)
ENABLEEVENT,0x80027C3C,2,3,3,0x80027C3C(2);0x80087938(2);0x800905F4(2)
ENABLEPAD,0x80082FA8,2,1,1,0x80082FA8(2)
ENTERCRITICALSECTION,0x80011A5C,2,5,5,0x80011A5C(2);0x80019A34(2);0x80027C7C(2);0x80082BF8(2);0x80090634(2)
ERASE,0x80027D0C,2,2,2,0x80027D0C(2);0x800906D4(2)
ERROR_MAIN_GRAPHIC,0x8002234C,2,1,1,0x8002234C(2)
EV0,0x8004DF68,2,2,2,0x8004DF68(2);0x800A22D4(2)
EV1,0x8004DF6C,2,2,2,0x8004DF6C(2);0x800A22D8(2)
EV10,0x8004DF78,2,2,2,0x8004DF78(2);0x800A22E8(2)
EV11,0x8004DF7C,2,2,2,0x8004DF7C(2);0x800A22EC(2)
EV12,0x8004DF80,2,2,2,0x8004DF80(2);0x800A22F0(2)
EV13,0x8004DF84,2,2,2,0x8004DF84(2);0x800A22F4(2)
EV2,0x8004DF70,2,2,2,0x8004DF70(2);0x800A22DC(2)
EV3,0x8004DF74,2,2,2,0x8004DF74(2);0x800A22E0(2)
EXIT,0x80038064,2,2,2,0x80038064(2);0x8009F894(2)
EXITCRITICALSECTION,0x80011A6C,2,5,5,0x80011A6C(2);0x80019A44(2);0x80027C8C(2);0x80082C08(2);0x80090644(2)
EnableEvent,0x80018490,2,8,8,0x80018490(2);0x800188A8(2);0x8001ABCC(2);0x8001C7B8(2);0x8001CDB8(2);0x80024A40(2);0x80036274(2);0x800378A0(2)
EnablePAD,0x80120424,4,8,9,0x80120424(4);0x80012C9C(2);0x80015D78(2);0x80017598(2);0x8001BB08(2);0x80037E28(2);0x80120530(2);0x80120A7C(2)
EnterCriticalSection,0x8001703C,4,19,21,0x8001703C(4);0x8011CE74(4);0x80010FDC(2);0x80011134(2);0x8001147C(2);0x80011678(2);0x80011CAC(2);0x80012C4C(2);0x800159D8(2);0x8001611C(2);0x80017320(2);0x80017558(2);0x8001A414(2);0x8001A588(2);0x8001A878(2);0x800362D4(2);0x800378F0(2);0x8011CF80(2);0x8011D4CC(2)
Exec,0x8001140C,2,4,4,0x8001140C(2);0x8001145C(2);0x80011564(2);0x80011658(2)
ExecMode,0x800152B0,2,2,2,0x800152B0(2);0x800153F8(2)
ExitCriticalSection,0x8001704C,4,19,21,0x8001704C(4);0x8011CE84(4);0x80010FEC(2);0x80011144(2);0x8001138C(2);0x80011588(2);0x80011CBC(2);0x80012C5C(2);0x800159E8(2);0x8001612C(2);0x80017568(2);0x80017CD4(2);0x8001A598(2);0x8001A888(2);0x8001EA28(2);0x800362E4(2);0x80037900(2);0x8011CF90(2);0x8011D4DC(2)
FADE,0x800158F8,2,1,1,0x800158F8(2)
FADE_OUT_FIRST_MENU,0x80012DF8,2,1,1,0x80012DF8(2)
FADE_OUT_MENU,0x80024970,2,1,1,0x80024970(2)
FADE_UP,0x8001C170,2,1,1,0x8001C170(2)
FB,0x8009E4F8,2,1,1,0x8009E4F8(2)
FEEDBACK,0x80095FD0,2,1,1,0x80095FD0(2)
FILEDATA,0x80038A0C,2,1,1,0x80038A0C(2)
FILE_MENU,0x8008BC0C,2,1,1,0x8008BC0C(2)
FILL_BUFFER,0x8008C8C8,2,1,1,0x8008C8C8(2)
FIRSTFILE,0x80027CEC,2,2,2,0x80027CEC(2);0x800906B4(2)
FLAMEB,0x8002C018,2,1,1,0x8002C018(2)
FLAMEG,0x8002C518,2,1,1,0x8002C518(2)
FLAMEMAP,0x80021D38,2,1,1,0x80021D38(2)
FLAMER,0x8002CA18,2,1,1,0x8002CA18(2)
FLASHER,0x800157E4,2,1,1,0x800157E4(2)
FLUSHCACHE,0x80011C0C,2,4,4,0x80011C0C(2);0x80027BEC(2);0x80083048(2);0x800905A4(2)
FNTFLUSH,0x8001A0D8,2,4,4,0x8001A0D8(2);0x80028764(2);0x80083990(2);0x80090F08(2)
FNTLOAD,0x80019D7C,2,4,4,0x80019D7C(2);0x80028408(2);0x80083638(2);0x80090BAC(2)
FNTOPEN,0x80019E20,2,4,4,0x80019E20(2);0x800284AC(2);0x800836D8(2);0x80090C50(2)
FNTPRINT,0x8001A3FC,2,4,4,0x8001A3FC(2);0x80028A88(2);0x80083CAC(2);0x8009122C(2)
FONT,0x8001F1D0,2,4,4,0x8001F1D0(2);0x8003B1CC(2);0x8008FD70(2);0x800A0B28(2)
FORMAT,0x80027CDC,2,2,2,0x80027CDC(2);0x800906A4(2)
FORMAT_CARD,0x80015964,2,1,1,0x80015964(2)
FORMAT_CONFIRM,0x8001FF7C,2,1,1,0x8001FF7C(2)
FORMAT_MENU,0x8008BDE4,2,1,1,0x8008BDE4(2)
FORMAT_ROUTINE,0x80013EB0,2,2,2,0x80013EB0(2);0x8008E40C(2)
FRAME,0x800167D0,2,1,1,0x800167D0(2)
FREE,0x800885B8,2,1,1,0x800885B8(2)
FastG3L,0x80102CD8,4,3,4,0x80102CD8(4);0x80102BD4(2);0x80103330(2)
FastG3L2,0x80103540,4,3,4,0x80103540(4);0x8010343C(2);0x80103B98(2)
FastG3L2L3,0x801033F4,4,3,4,0x801033F4(4);0x801032F0(2);0x80103A4C(2)
FirstTime,0x800152BC,2,2,2,0x800152BC(2);0x80015404(2)
FlushCache,0x8001702C,4,15,17,0x8001702C(4);0x8011CE64(4);0x80012D2C(2);0x80015E18(2);0x800162D4(2);0x80016650(2);0x80017310(2);0x80017638(2);0x8001A404(2);0x8001B6A8(2);0x8001BBA8(2);0x800361F4(2);0x80037820(2);0x8011CF70(2);0x8011D4BC(2)
FntFlush,0x80012E90,4,10,11,0x80012E90(4);0x800120A0(2);0x800121BC(2);0x80012608(2);0x800131F8(2);0x800133B0(2);0x800134A8(2);0x8001AA88(2);0x800317DC(2);0x80032DC0(2)
FntLoad,0x80012B34,4,10,11,0x80012B34(4);0x80011D48(2);0x80011E60(2);0x800122AC(2);0x80012E9C(2);0x80013058(2);0x8001314C(2);0x8001A72C(2);0x80031480(2);0x80032A64(2)
FntOpen,0x80012BD8,4,10,11,0x80012BD8(4);0x80011DE8(2);0x80011F04(2);0x80012350(2);0x80012F40(2);0x800130F8(2);0x800131F0(2);0x8001A7D0(2);0x80031524(2);0x80032B08(2)
FntPrint,0x800131B4,4,10,11,0x800131B4(4);0x800123BC(2);0x800124E0(2);0x80012920(2);0x8001351C(2);0x800136CC(2);0x800137C0(2);0x8001ADAC(2);0x80031B00(2);0x800330D8(2)
Font,0x80018ADC,4,10,11,0x80018ADC(4);0x80017030(2);0x800173F4(2);0x800179DC(2);0x8001AD60(2);0x8001C1B4(2);0x8001C510(2);0x80029FB4(2);0x800455B0(2);0x80047034(2)
GAME_BUFF,0x80079CC0,2,1,1,0x80079CC0(2)
GAME_SPRT_X,0x80039810,2,1,1,0x80039810(2)
GAME_SPRT_Y,0x80039838,2,1,1,0x80039838(2)
